cmovns,1
mulsd,2
ret,2
test,1
push,6
pxor,2
sub,4
addsd,1
pop,6
neg,4
jb,1
mov,10
add,3
je,1
movzbl,10
imul,1
cmovs,1
lea,8
sqrtsd,1
cmp,1
