
bin/sobel-sequential-g,title
sequential,execution_mode
TIME,measurement_type
bin/sobel-parallel-g,title
parallel,execution_mode
4,num_threads
TIME,measurement_type
0.020318914,omp_wtime
21.23,msec,cpu-clock:u,21227307,100.00,0.986,CPUs utilized
38432031,,cycles:u,21227307,100.00,1.810,GHz
86692647,,instructions:u,21227307,100.00,2.26,insn per cycle
21532059,ns,duration_time:u,21532059,100.00,1.014,G/sec
CACHE,measurement_type
0.021205397,omp_wtime
85.46,msec,cpu-clock:u,85473050,100.00,3.759,CPUs utilized
157365781,,cycles:u,72056371,84.00,1.841,GHz
353420817,,instructions:u,69487786,81.00,2.25,insn per cycle
302,,page-faults:u,85473050,100.00,3.534,K/sec
163273,,cache-references:u,69476463,81.00,1.911,M/sec
17130,,cache-misses:u,69689222,84.00,10.492,of all cache refs
22335312,,branches:u,73240305,85.00,261.353,M/sec
403113,,branch-misses:u,73415103,85.00,1.80,of all branches
22737170,ns,duration_time:u,22737170,100.00,266.056,M/sec

bin/sobel-parallel-g,title
parallel,execution_mode
8,num_threads
TIME,measurement_type
0.010654155,omp_wtime
11.54,msec,cpu-clock:u,11541922,100.00,0.974,CPUs utilized
19926792,,cycles:u,11541922,100.00,1.726,GHz
42884609,,instructions:u,11541922,100.00,2.15,insn per cycle
11855929,ns,duration_time:u,11855929,100.00,1.027,G/sec
CACHE,measurement_type
0.011085454,omp_wtime
88.57,msec,cpu-clock:u,88597789,100.00,7.082,CPUs utilized
162305004,,cycles:u,76603839,86.00,1.832,GHz
351640964,,instructions:u,72624217,81.00,2.17,insn per cycle
305,,page-faults:u,88597789,100.00,3.444,K/sec
172518,,cache-references:u,72608496,81.00,1.948,M/sec
24459,,cache-misses:u,72607514,81.00,14.178,of all cache refs
22511221,,branches:u,72650067,81.00,254.161,M/sec
408936,,branch-misses:u,75894812,89.00,1.82,of all branches
12506379,ns,duration_time:u,12506379,100.00,141.202,M/sec

bin/sobel-parallel-O1,title
parallel,execution_mode
1,num_threads
TIME,measurement_type
0.004976304,omp_wtime
5.73,msec,cpu-clock:u,5725129,100.00,0.946,CPUs utilized
9161228,,cycles:u,5725129,100.00,1.600,GHz
32466953,,instructions:u,5725129,100.00,3.54,insn per cycle
6054176,ns,duration_time:u,6054176,100.00,1.057,G/sec
CACHE,measurement_type
0.005279904,omp_wtime
6.02,msec,cpu-clock:u,6027996,100.00,0.911,CPUs utilized
8993714,,cycles:u,5059220,83.00,1.493,GHz
31242106,,instructions:u,5028611,83.00,3.47,insn per cycle
281,,page-faults:u,6027996,100.00,46.641,K/sec
109221,,cache-references:u,5070721,84.00,18.129,M/sec
21631,,cache-misses:u,5027770,83.00,19.805,of all cache refs
753443,,branches:u,5076550,84.00,125.058,M/sec
249,,branch-misses:u,4877108,80.00,0.03,of all branches
6610410,ns,duration_time:u,6610410,100.00,1.097,G/sec

bin/sobel-parallel-O1,title
parallel,execution_mode
2,num_threads
TIME,measurement_type
0.002553770,omp_wtime
3.39,msec,cpu-clock:u,3385340,100.00,0.920,CPUs utilized
4812589,,cycles:u,3385340,100.00,1.421,GHz
16386307,,instructions:u,3385340,100.00,3.40,insn per cycle
3681525,ns,duration_time:u,3681525,100.00,1.087,G/sec
CACHE,measurement_type
0.002957818,omp_wtime
6.82,msec,cpu-clock:u,6827527,100.00,1.600,CPUs utilized
10542987,,cycles:u,5307887,77.00,1.545,GHz
29548563,,instructions:u,4833757,70.00,2.80,insn per cycle
283,,page-faults:u,6827527,100.00,41.471,K/sec
104462,,cache-references:u,4828498,70.00,15.308,M/sec
13017,,cache-misses:u,5769201,89.00,12.461,of all cache refs
784190,,branches:u,6827527,100.00,114.916,M/sec
4032,,branch-misses:u,6570765,96.00,0.51,of all branches
4264009,ns,duration_time:u,4264009,100.00,624.851,M/sec

bin/sobel-parallel-O1,title
parallel,execution_mode
4,num_threads
TIME,measurement_type
0.001582208,omp_wtime
2.39,msec,cpu-clock:u,2392448,100.00,0.888,CPUs utilized
2923920,,cycles:u,2392448,100.00,1.221,GHz
8380601,,instructions:u,2392448,100.00,2.87,insn per cycle
2695697,ns,duration_time:u,2695697,100.00,1.126,G/sec
CACHE,measurement_type
0.001607535,omp_wtime
7.22,msec,cpu-clock:u,7229240,100.00,2.369,CPUs utilized
10972812,,cycles:u,4542300,62.00,1.519,GHz
14104212,,instructions:u,3289240,76.00,1.29,insn per cycle
287,,page-faults:u,7229240,100.00,39.742,K/sec
116713,,cache-references:u,6969372,96.00,16.162,M/sec
20930,,cache-misses:u,7229240,100.00,17.933,of all cache refs
794653,,branches:u,7229240,100.00,110.040,M/sec
3935,,branch-misses:u,6886808,95.00,0.50,of all branches
3047797,ns,duration_time:u,3047797,100.00,422.044,M/sec

bin/sobel-parallel-O1,title
parallel,execution_mode
8,num_threads
TIME,measurement_type
0.001009133,omp_wtime
1.89,msec,cpu-clock:u,1891358,100.00,0.868,CPUs utilized
1708836,,cycles:u,1891358,100.00,0.903,GHz
4351817,,instructions:u,1891358,100.00,2.55,insn per cycle
2180901,ns,duration_time:u,2180901,100.00,1.152,G/sec
CACHE,measurement_type
0.001157040,omp_wtime
9.21,msec,cpu-clock:u,9224453,100.00,3.501,CPUs utilized
14089903,,cycles:u,6933465,75.00,1.531,GHz
2712133,,instructions:u,2519857,71.00,0.19,insn per cycle
293,,page-faults:u,9224453,100.00,31.828,K/sec
121442,,cache-references:u,9081796,98.00,13.192,M/sec
20681,,cache-misses:u,9224453,100.00,17.030,of all cache refs
860497,,branches:u,9224453,100.00,93.473,M/sec
5174,,branch-misses:u,9138241,99.00,0.60,of all branches
2629412,ns,duration_time:u,2629412,100.00,285.623,M/sec

bin/sobel-parallel-O2,title
parallel,execution_mode
1,num_threads
TIME,measurement_type
0.004939585,omp_wtime
5.69,msec,cpu-clock:u,5689913,100.00,0.946,CPUs utilized
9025415,,cycles:u,5689913,100.00,1.586,GHz
32466932,,instructions:u,5689913,100.00,3.60,insn per cycle
6019240,ns,duration_time:u,6019240,100.00,1.058,G/sec
CACHE,measurement_type
0.005036628,omp_wtime
5.89,msec,cpu-clock:u,5887664,100.00,0.940,CPUs utilized
9190861,,cycles:u,4892106,83.00,1.561,GHz
31320495,,instructions:u,4888971,83.00,3.41,insn per cycle
277,,page-faults:u,5887664,100.00,47.050,K/sec
108459,,cache-references:u,4887828,83.00,18.422,M/sec
17574,,cache-misses:u,4887789,83.00,16.203,of all cache refs
747599,,branches:u,4888379,83.00,126.985,M/sec
3512,,branch-misses:u,4993247,84.00,0.47,of all branches
6264100,ns,duration_time:u,6264100,100.00,1.064,G/sec

bin/sobel-parallel-O2,title
parallel,execution_mode
2,num_threads
TIME,measurement_type
0.002796786,omp_wtime
3.44,msec,cpu-clock:u,3439041,100.00,0.875,CPUs utilized
5265980,,cycles:u,3439041,100.00,1.531,GHz
16447758,,instructions:u,3439041,100.00,3.12,insn per cycle
3931435,ns,duration_time:u,3931435,100.00,1.143,G/sec
CACHE,measurement_type
0.002711246,omp_wtime
6.30,msec,cpu-clock:u,6299667,100.00,1.544,CPUs utilized
8893762,,cycles:u,4304816,68.00,1.413,GHz
29339716,,instructions:u,4299826,68.00,3.30,insn per cycle
284,,page-faults:u,6299667,100.00,45.105,K/sec
105682,,cache-references:u,4787610,84.00,16.784,M/sec
16477,,cache-misses:u,6299667,100.00,15.591,of all cache refs
771030,,branches:u,6299667,100.00,122.455,M/sec
565,,branch-misses:u,5506749,87.00,0.07,of all branches
4076978,ns,duration_time:u,4076978,100.00,647.508,M/sec

bin/sobel-parallel-O2,title
parallel,execution_mode
4,num_threads
TIME,measurement_type
0.001660245,omp_wtime
2.51,msec,cpu-clock:u,2505450,100.00,0.896,CPUs utilized
3140013,,cycles:u,2505450,100.00,1.253,GHz
8409786,,instructions:u,2505450,100.00,2.68,insn per cycle
2797137,ns,duration_time:u,2797137,100.00,1.116,G/sec
CACHE,measurement_type
0.001570015,omp_wtime
6.93,msec,cpu-clock:u,6936902,100.00,2.341,CPUs utilized
8532576,,cycles:u,4139836,70.00,1.231,GHz
29686440,,instructions:u,6419251,99.00,3.48,insn per cycle
288,,page-faults:u,6936902,100.00,41.566,K/sec
112908,,cache-references:u,6936902,100.00,16.296,M/sec
18185,,cache-misses:u,6936902,100.00,16.106,of all cache refs
797130,,branches:u,6936902,100.00,115.047,M/sec
950,,branch-misses:u,3314717,47.00,0.12,of all branches
2959311,ns,duration_time:u,2959311,100.00,427.108,M/sec

bin/sobel-parallel-O2,title
parallel,execution_mode
8,num_threads
TIME,measurement_type
0.000977453,omp_wtime
1.95,msec,cpu-clock:u,1944758,100.00,0.869,CPUs utilized
1774450,,cycles:u,1944758,100.00,0.912,GHz
4355930,,instructions:u,1944758,100.00,2.45,insn per cycle
2239420,ns,duration_time:u,2239420,100.00,1.151,G/sec
CACHE,measurement_type
0.001681444,omp_wtime
11.48,msec,cpu-clock:u,11500444,100.00,3.915,CPUs utilized
14114654,,cycles:u,5792348,50.00,1.230,GHz
