,,,,,,,
bin/sobel-sequential-g,title,,,,,,
sequential,execution_mode,,,,,,
TIME,measurement_type,,,,,,
3.467901647,omp_wtime,,,,,,
3336170411,ns,duration_time:u,3336170411,100,1,G/sec,
CACHE,measurement_type,,,,,,
1.865091818,omp_wtime,,,,,,
3730.22,msec,cpu-clock:u,3730261272,100,1.999,CPUs utilized,
14994761824,,cycles:u,3107474441,83,4.02,GHz,
35471154573,,instructions:u,3108381097,83,2.37,insn per cycle,
285,,page-faults:u,3730261272,100,76.403,/sec,
12201044,,cache-references:u,3108321047,83,3.271,M/sec,
320345,,cache-misses:u,3109245068,83,2.626,of all cache refs,
2223914004,,branches:u,3108408979,83,596.188,M/sec,
39205725,,branch-misses:u,3109475728,83,1.76,of all branches,
1866134073,ns,duration_time:u,1866134073,100,500.274,M/sec,
,,,,,,,
bin/sobel-parallel-g,title,,,,,,
parallel,execution_mode,,,,,,
4,num_threads,,,,,,
TIME,measurement_type,,,,,,
1.068662746,omp_wtime,,,,,,
1069.28,msec,cpu-clock:u,1069275005,100,1,CPUs utilized,
3791710146,,cycles:u,1069275005,100,3.546,GHz,
8639647647,,instructions:u,1069275005,100,2.28,insn per cycle,
1069522960,ns,duration_time:u,1069522960,100,1,G/sec,
CACHE,measurement_type,,,,,,
1.133775924,omp_wtime,,,,,,
4526.94,msec,cpu-clock:u,4526991387,100,3.989,CPUs utilized,
15755595429,,cycles:u,3768268703,83,3.48,GHz,
35541321355,,instructions:u,3771012244,83,2.26,insn per cycle,
296,,page-faults:u,4526991387,100,65.386,/sec,
11698356,,cache-references:u,3772039152,83,2.584,M/sec,
292791,,cache-misses:u,3771312964,83,2.503,of all cache refs,
2243766439,,branches:u,3776862052,83,495.648,M/sec,
39228055,,branch-misses:u,3775461820,83,1.75,of all branches,
1134857762,ns,duration_time:u,1134857762,100,250.69,M/sec,
,,,,,,,
bin/sobel-parallel-g,title,,,,,,
parallel,execution_mode,,,,,,
8,num_threads,,,,,,
TIME,measurement_type,,,,,,
0.688121683,omp_wtime,,,,,,
688.77,msec,cpu-clock:u,688774785,100,1,CPUs utilized,
1921229003,,cycles:u,688774785,100,2.789,GHz,
4254841843,,instructions:u,688774785,100,2.21,insn per cycle,
689003316,ns,duration_time:u,689003316,100,1,G/sec,
CACHE,measurement_type,,,,,,
0.737708285,omp_wtime,,,,,,
5896.83,msec,cpu-clock:u,5896880697,100,7.983,CPUs utilized,
15685133279,,cycles:u,4915347823,83,2.66,GHz,
35515099292,,instructions:u,4913373793,83,2.26,insn per cycle,
